Feature,MI_Score,RF_Importance,GB_Importance,MI_Rank,RF_Rank,GB_Rank,Mean_Rank
X2DROPSTAT,0.18065277442477967,0.018207230150942597,0.035125102503078556,1,2,4,2.3
S4PRE_01,0.123661744412497,0.01973946400096754,0.10929990531578573,5,1,2,2.7
X2EVERDROP,0.17833304693942686,0.013663759959699847,0.4354187976473349,2,5,1,2.7
X4HSCOMPSTAT,0.14532332555806993,0.013821542168879285,0.07262867470480024,3,4,3,3.3
X3HSCOMPSTAT,0.13144890423430522,0.010047143360931219,0.0297243119412802,4,10,5,6.3
X3TCREDTOT,0.11715816488270248,0.010838554901059401,0.019242446193265417,8,8,7,7.7
X3TCREDSTEM,0.12191281280946265,0.005936112575831805,0.009910368613807185,6,29,14,16.3
X2TXMTH5,0.10124374717457707,0.012237020163153929,0.0021438257978091983,12,6,43,20.3
X3TCREDSCI,0.09237013060902122,0.004413632013170072,0.014029661780533385,18,43,9,23.3
X2ENRSTATSCH,0.08483326428407856,0.006893581392635565,0.001596261578478286,26,20,50,32.0
X3TCREDACAD,0.10555766939805644,0.005734886053517173,0.0011260577293327073,11,30,60,33.7
X4PSLFSTFB16,0.09299181619745367,0.015830043473582734,0.0003042144512775397,17,3,108,42.7
X3TCRED11TH,0.0955622547763999,0.006398063185723623,0.00026820499537878354,15,24,114,51.0
X5TRANRESP,0.07179069748002376,0.007743182433009647,0.00042782753774751284,55,17,87,53.0
X3TCRED12TH,0.07847258549862368,0.00857766993780722,4.6738881836469276e-05,37,14,176,75.7
X2TXMSEM5,0.09177559233383636,0.006055635801041856,3.5191947421489984e-05,19,27,197,81.0
X4EVERGED,0.08979459285698232,0.001039833973908254,0.014240474264102826,21,218,8,82.3
X3TGPASCI,0.09462993303402634,0.0048630323100425235,3.680464448142758e-05,16,38,194,82.7
X3TOUTCOME,0.07087201144871091,0.010210966730487284,8.04417689855488e-06,59,9,271,113.0
X3TCREDMAT,0.06979161691700009,0.009049678106274323,3.4188108458367077e-06,66,11,310,129.0
